filename, language, JSON, XML, Markdown, HTML, JavaScript, TypeScript, SCSS, Swift, comment, blank, total
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\infos\infos.page.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\infos\infos.page.spec.ts, TypeScript, 0, 0, 0, 0, 0, 19, 0, 0, 0, 6, 25
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\infos\infos.page.ts, TypeScript, 0, 0, 0, 0, 0, 33, 0, 0, 0, 7, 40
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\membres\membres-routing.module.ts, TypeScript, 0, 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\membres\membres.module.ts, TypeScript, 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\membres\membres.page.html, HTML, 0, 0, 0, 41, 0, 0, 0, 0, 0, 2, 43
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\membres\membres.page.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\membres\membres.page.spec.ts, TypeScript, 0, 0, 0, 0, 0, 19, 0, 0, 0, 6, 25
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\membres\membres.page.ts, TypeScript, 0, 0, 0, 0, 0, 68, 0, 0, 0, 14, 82
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\modifinfolist\modifinfolist-routing.module.ts, TypeScript, 0, 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\modifinfolist\modifinfolist.module.ts, TypeScript, 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
